rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
61,XGBoost,A,none,loeo,feature_noise,54.03581848144531,70.33116761697212,-0.3733755926708373,34.82644854303633,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
62,XGBoost,A,none,loeo,grouped_scaling,55.538117218017575,67.79363345820694,-0.27606116502689426,34.92044155482043,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
63,RandomForest,A,none,loeo,grouped_scaling,55.885895634920644,67.80231768418419,-0.2763881076236534,37.00876589588356,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
64,RandomForest,A,grid,loeo,grouped_scaling,55.885895634920644,67.80231768418419,-0.2763881076236534,37.00876589588356,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
65,RandomForest,A,none,loeo,feature_scaling,56.158825,67.8799349312459,-0.2793120913432796,37.18069892421093,"LOEO-CV (honest, n=10); aug:feature_scaling",A_ST_feature_scaling
66,XGBoost,A,none,loeo,feature_scaling,56.252793884277345,72.04039832118315,-0.4409399449354965,36.870880506937624,"LOEO-CV (honest, n=10); aug:feature_scaling",A_ST_feature_scaling
67,RandomForest,A,random,loeo,grouped_scaling,56.291590043290036,68.0155095317642,-0.28442745957189697,37.35250951521191,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
68,DummyRegressor,N,none,loeo,none,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10)",N_ST
69,DummyRegressor,N,none,loeo,none,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10)",N_CT_random
70,DummyRegressor,N,none,loeo,none,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10)",N_CT_grid
71,DummyRegressor,A,none,loeo,feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
72,DummyRegressor,A,none,loeo,feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:feature_noise",A_CT_random_feature_noise
73,DummyRegressor,A,none,loeo,feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:feature_noise",A_CT_grid_feature_noise
74,DummyRegressor,A,none,loeo,feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:feature_scaling",A_ST_feature_scaling
75,DummyRegressor,A,none,loeo,feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:feature_scaling",A_CT_random_feature_scaling
76,DummyRegressor,A,none,loeo,feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:feature_scaling",A_CT_grid_feature_scaling
77,DummyRegressor,A,none,loeo,grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
78,DummyRegressor,A,none,loeo,grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_CT_random_grouped_scaling
79,DummyRegressor,A,none,loeo,grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_CT_grid_grouped_scaling
80,RandomForest,A,random,loeo,feature_scaling,56.57054877344876,67.9553400149958,-0.28215594250301623,37.4494611880735,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
81,RandomForest,A,grid,loeo,feature_scaling,56.57054877344876,67.9553400149958,-0.28215594250301623,37.4494611880735,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
82,Ridge,A,random,loeo,grouped_scaling,59.68787931495672,127.9657371158279,-3.5465406172094696,28.133336835702373,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
83,Ridge,A,grid,loeo,grouped_scaling,59.68787931495672,127.9657371158279,-3.5465406172094696,28.133336835702373,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
84,SVR,N,none,loeo,none,60.24311227420817,69.56571176951118,-0.34364374890640415,39.16508645475763,"LOEO-CV (honest, n=10)",N_ST
85,MLP,A,none,loeo,feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
86,MLP,A,none,loeo,feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,"LOEO-CV (honest, n=10); aug:feature_noise",A_CT_random_feature_noise
87,MLP,A,none,loeo,feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,"LOEO-CV (honest, n=10); aug:feature_noise",A_CT_grid_feature_noise
88,MLP,N,none,loeo,none,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,"LOEO-CV (honest, n=10)",N_ST
89,MLP,N,none,loeo,none,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,"LOEO-CV (honest, n=10)",N_CT_random
90,MLP,N,none,loeo,none,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,"LOEO-CV (honest, n=10)",N_CT_grid
91,MLP,A,none,loeo,grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
92,MLP,A,none,loeo,grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_CT_random_grouped_scaling
93,MLP,A,none,loeo,grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_CT_grid_grouped_scaling
94,MLP,A,none,loeo,feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,"LOEO-CV (honest, n=10); aug:feature_scaling",A_ST_feature_scaling
95,MLP,A,none,loeo,feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,"LOEO-CV (honest, n=10); aug:feature_scaling",A_CT_random_feature_scaling
96,MLP,A,none,loeo,feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,"LOEO-CV (honest, n=10); aug:feature_scaling",A_CT_grid_feature_scaling
