model,feature_subset,data_branch,tuning_method,augmentation_strategy,branch_id,n_features,best_params,best_cv_score_mae,scoring,cv_strategy,notes
MLP,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_scaling,FUSION_A_CT_random_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,203,"{""model__alpha"": 100}",38.103122455568425,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,203,"{""model__alpha"": 1}",39.27687526040084,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,203,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",25.04551834014595,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,203,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",48.44347087281509,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,203,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 3, ""model__max_depth"": null}",52.558138723776224,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,A,random,feature_scaling,FUSION_A_CT_random_feature_scaling,203,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",40.49560966491699,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,FUSION,A,none,feature_scaling,FUSION_A_CT_random_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,"{""model__alpha"": 100}",38.103122455568425,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,"{""model__alpha"": 1}",39.27687526040084,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",25.04551834014595,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",48.4268046736763,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,"{""model__max_depth"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}",52.55813872377621,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,A,grid,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",39.80056209564209,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,A,none,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,grouped_scaling,FUSION_A_CT_random_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,203,"{""model__alpha"": 0.01}",35.417052560206514,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,203,"{""model__alpha"": 0.01}",32.40494823134729,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,203,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",24.453443817184098,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,203,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",48.465052431981924,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,203,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 3, ""model__max_depth"": null}",53.1588847055722,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,203,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",37.73939208984375,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
