rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
157,SVR,A,grid,loeo,feature_noise,53.098022368076826,64.09256248178006,-0.14053584997067525,35.24704995571069,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",SOLO_R_A_CT_grid_feature_noise
158,SVR,A,none,loeo,grouped_scaling,53.13183957997702,64.05433982366004,-0.13917590082570164,35.442298864691224,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_R_A_ST_grouped_scaling
159,RandomForest,A,random,loeo,feature_noise,53.185716505716506,64.93757261962675,-0.17080824216667678,34.5623368916417,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",SOLO_A_A_CT_random_feature_noise
160,SVR,A,none,loeo,feature_noise,53.208002483101566,64.11504793639656,-0.1413362537826488,35.441013984078005,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_R_A_ST_feature_noise
161,SVR,A,random,loeo,feature_scaling,53.21545190667391,64.2505516756848,-0.1461656585185962,35.389669276810565,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",SOLO_R_A_CT_random_feature_scaling
162,SVR,A,grid,loeo,feature_scaling,53.21545190667391,64.2505516756848,-0.1461656585185962,35.389669276810565,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",SOLO_R_A_CT_grid_feature_scaling
163,SVR,A,none,loeo,feature_scaling,53.249135794824745,64.17823732321988,-0.1435870788200908,35.51518392051026,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_R_A_ST_feature_scaling
164,RandomForest,A,random,loeo,feature_noise,53.335874009324,64.02140488925248,-0.13800473777410072,34.4943388184327,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",SOLO_R_A_CT_random_feature_noise
165,RandomForest,A,grid,loeo,feature_noise,53.335874009324,64.02140488925248,-0.13800473777410072,34.4943388184327,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",SOLO_R_A_CT_grid_feature_noise
166,RandomForest,A,grid,loeo,grouped_scaling,53.37199999999999,63.26048245152735,-0.11111412697927903,35.386541040663154,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_A_A_CT_grid_grouped_scaling
167,SVR,N,random,loeo,none,53.38512031010574,65.04224817773778,-0.17458583276584938,36.262648966515876,"LOEO-CV (honest, n=10); tuning:random",SOLO_A_N_CT_random
168,SVR,N,grid,loeo,none,53.38512031010574,65.04224817773778,-0.17458583276584938,36.262648966515876,"LOEO-CV (honest, n=10); tuning:grid",SOLO_A_N_CT_grid
169,RandomForest,A,none,loeo,feature_scaling,53.49806388888889,65.32378169850439,-0.18477616213329195,35.25670075998107,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_R_A_ST_feature_scaling
170,RandomForest,A,grid,loeo,feature_scaling,53.49806388888889,65.32378169850439,-0.18477616213329195,35.25670075998107,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",SOLO_R_A_CT_grid_feature_scaling
171,SVR,A,none,loeo,grouped_scaling,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544,"LOEO-CV (honest, n=10); aug:grouped_scaling",FUSION_A_ST_grouped_scaling
172,SVR,A,random,loeo,grouped_scaling,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",FUSION_A_CT_random_grouped_scaling
173,SVR,A,none,loeo,feature_noise,53.67230013883481,65.34624766697445,-0.18559123193655291,34.88253605186713,"LOEO-CV (honest, n=10); aug:feature_noise",FUSION_A_ST_feature_noise
174,SVR,A,random,loeo,feature_noise,53.67230013883481,65.34624766697445,-0.18559123193655291,34.88253605186713,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",FUSION_A_CT_random_feature_noise
175,SVR,A,grid,loeo,grouped_scaling,53.69852809659271,65.3002582667731,-0.18392302771956137,34.914946849680234,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",FUSION_A_CT_grid_grouped_scaling
176,SVR,A,none,loeo,feature_scaling,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025,"LOEO-CV (honest, n=10); aug:feature_scaling",FUSION_A_ST_feature_scaling
177,SVR,A,random,loeo,feature_scaling,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",FUSION_A_CT_random_feature_scaling
178,SVR,A,grid,loeo,feature_noise,53.744260977424496,65.40412065353831,-0.18769216630598362,34.946902750369084,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",FUSION_A_CT_grid_feature_noise
179,XGBoost,A,none,loeo,feature_scaling,53.84126586914063,64.0798718137046,-0.14008423036430484,35.89406672331709,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_R_A_ST_feature_scaling
180,RandomForest,N,grid,loeo,none,53.874211111111094,63.096259277441874,-0.10535274685110863,37.936772656226026,"LOEO-CV (honest, n=10); tuning:grid",SOLO_A_N_CT_grid
181,RandomForest,N,random,loeo,none,53.874211111111094,63.096259277441874,-0.10535274685110885,37.93677265622604,"LOEO-CV (honest, n=10); tuning:random",SOLO_A_N_CT_random
182,SVR,A,grid,loeo,feature_scaling,53.88025844387572,65.48391396533992,-0.19059191330182257,35.06314783415158,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",FUSION_A_CT_grid_feature_scaling
183,XGBoost,A,random,loeo,grouped_scaling,53.93717727661133,63.50777286014634,-0.11981797813136041,33.54686729871644,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",SOLO_A_A_CT_random_grouped_scaling
184,Ridge,N,random,loeo,none,53.96599498257531,93.68938265805167,-1.4371060315704103,31.592724335296484,"LOEO-CV (honest, n=10); tuning:random",SOLO_R_N_CT_random
185,Ridge,N,grid,loeo,none,53.96599498257531,93.68938265805167,-1.4371060315704103,31.592724335296484,"LOEO-CV (honest, n=10); tuning:grid",SOLO_R_N_CT_grid
186,XGBoost,A,none,loeo,feature_noise,54.03581848144531,70.33116761697212,-0.3733755926708373,34.82644854303633,"LOEO-CV (honest, n=10); aug:feature_noise",FUSION_A_ST_feature_noise
