model,feature,rank,mean_abs_shap,mean_shap
XGBoost_N_CT_random,A_p6_kurtosis,168,0.0,0.0
XGBoost_N_CT_random,A_p6_crest_factor,169,0.0,0.0
XGBoost_N_CT_random,A_p6_energy,170,0.0,0.0
XGBoost_N_CT_random,A_p6_absolute_mean,171,0.0,0.0
XGBoost_N_CT_random,A_p6_duration_s,172,0.0,0.0
XGBoost_N_CT_random,A_p6_n_samples,173,0.0,0.0
XGBoost_N_CT_random,A_p6_dominant_freq_hz,174,0.0,0.0
XGBoost_N_CT_random,A_p6_spectral_energy,175,0.0,0.0
XGBoost_N_CT_random,A_p6_spectral_centroid_hz,176,0.0,0.0
XGBoost_N_CT_random,R_p6_mean,177,0.0,0.0
XGBoost_N_CT_random,R_p6_std,178,0.0,0.0
XGBoost_N_CT_random,R_p6_rms,179,0.0,0.0
XGBoost_N_CT_random,R_p6_max,180,0.0,0.0
XGBoost_N_CT_random,R_p6_min,181,0.0,0.0
XGBoost_N_CT_random,R_p6_peak_to_peak,182,0.0,0.0
XGBoost_N_CT_random,R_p6_skewness,183,0.0,0.0
XGBoost_N_CT_random,R_p6_kurtosis,184,0.0,0.0
XGBoost_N_CT_random,R_p6_crest_factor,185,0.0,0.0
XGBoost_N_CT_random,R_p6_energy,186,0.0,0.0
XGBoost_N_CT_random,R_p6_absolute_mean,187,0.0,0.0
XGBoost_N_CT_random,R_p6_duration_s,188,0.0,0.0
XGBoost_N_CT_random,R_p6_n_samples,189,0.0,0.0
XGBoost_N_CT_random,R_p6_dominant_freq_hz,190,0.0,0.0
XGBoost_N_CT_random,R_p6_spectral_energy,191,0.0,0.0
XGBoost_N_CT_random,R_p6_spectral_centroid_hz,192,0.0,0.0
XGBoost_N_CT_random,A_rms_mean_6_contacts,193,0.0,0.0
XGBoost_N_CT_random,A_rms_std_6_contacts,194,0.0,0.0
XGBoost_N_CT_random,A_energy_total_6_contacts,195,0.0,0.0
XGBoost_N_CT_random,R_rms_mean_6_contacts,196,0.0,0.0
XGBoost_N_CT_random,R_rms_std_6_contacts,197,0.0,0.0
XGBoost_N_CT_random,R_energy_total_6_contacts,198,0.0,0.0
XGBoost_N_CT_random,total_energy_6_contacts,199,0.0,0.0
XGBoost_N_CT_random,A_to_R_rms_ratio,200,0.0,0.0
XGBoost_N_CT_random,A_to_R_energy_ratio,201,0.0,0.0
XGBoost_N_CT_random,VC,202,0.0,0.0
XGBoost_N_CT_random,F,203,0.0,0.0
