model,experiment_id,feature,shap_value,feature_value
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p5_n_samples,0.0,109054.0
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p5_dominant_freq_hz,0.0,2122.343059482112
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p5_spectral_energy,0.0,2456027844502.797
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p5_spectral_centroid_hz,0.0,4641.59983326618
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_mean,0.0,1.1011521823145004e-16
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_std,0.0,20.951038219362086
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_rms,0.0,20.951038219362086
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_max,0.0,112.5601158813542
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_min,0.0,-98.9766501186458
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_peak_to_peak,0.0,211.536766
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_skewness,0.0,0.1229591323525523
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_kurtosis,0.0,1.143009452048731
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_crest_factor,0.0,5.372531647492809
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_energy,0.0,770.411686773743
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_absolute_mean,0.0,15.028809244934456
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_duration_s,-8.120691299438477,1.7551200000000051
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_n_samples,0.0,87757.0
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_dominant_freq_hz,0.0,4691.933405532379
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_spectral_energy,0.0,1690225459905.0796
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p6_spectral_centroid_hz,0.0,4712.7291117852565
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_rms_mean_6_contacts,0.0,22.818500344831197
