model,experiment_id,feature,shap_value,feature_value
XGBoost_N_CT_random,66,R_p5_energy,0.0,900.848330002657
XGBoost_N_CT_random,66,R_p5_absolute_mean,0.0,14.670160486006935
XGBoost_N_CT_random,66,R_p5_duration_s,0.0,2.181060000000002
XGBoost_N_CT_random,66,R_p5_n_samples,0.0,109054.0
XGBoost_N_CT_random,66,R_p5_dominant_freq_hz,0.0,2122.343059482112
XGBoost_N_CT_random,66,R_p5_spectral_energy,0.0,2456027844502.797
XGBoost_N_CT_random,66,R_p5_spectral_centroid_hz,0.0,4641.59983326618
XGBoost_N_CT_random,66,A_p6_mean,0.0,5.597565961084093e-18
XGBoost_N_CT_random,66,A_p6_std,0.0,22.969567647750083
XGBoost_N_CT_random,66,A_p6_rms,0.0,22.969567647750083
XGBoost_N_CT_random,66,A_p6_max,0.0,117.99255123477025
XGBoost_N_CT_random,66,A_p6_min,0.0,-145.29317776522976
XGBoost_N_CT_random,66,A_p6_peak_to_peak,0.0,263.285729
XGBoost_N_CT_random,66,A_p6_skewness,0.0,0.0428218442824316
XGBoost_N_CT_random,66,A_p6_kurtosis,0.0,1.3768218127992666
XGBoost_N_CT_random,66,A_p6_crest_factor,0.0,6.325464196513143
XGBoost_N_CT_random,66,A_p6_energy,0.0,1098.349288730607
XGBoost_N_CT_random,66,A_p6_absolute_mean,0.0,15.55883696785423
XGBoost_N_CT_random,66,A_p6_duration_s,0.0,2.0817600000000027
XGBoost_N_CT_random,66,A_p6_n_samples,0.0,104089.0
XGBoost_N_CT_random,66,A_p6_dominant_freq_hz,0.0,1575.094390437095
XGBoost_N_CT_random,66,A_p6_spectral_energy,0.0,2858151977866.9995
XGBoost_N_CT_random,66,A_p6_spectral_centroid_hz,0.0,3455.3603706827407
XGBoost_N_CT_random,66,R_p6_mean,0.0,1.1011521823145004e-16
XGBoost_N_CT_random,66,R_p6_std,0.0,20.951038219362086
XGBoost_N_CT_random,66,R_p6_rms,0.0,20.951038219362086
XGBoost_N_CT_random,66,R_p6_max,0.0,112.5601158813542
XGBoost_N_CT_random,66,R_p6_min,0.0,-98.9766501186458
XGBoost_N_CT_random,66,R_p6_peak_to_peak,0.0,211.536766
XGBoost_N_CT_random,66,R_p6_skewness,0.0,0.1229591323525523
XGBoost_N_CT_random,66,R_p6_kurtosis,0.0,1.143009452048731
XGBoost_N_CT_random,66,R_p6_crest_factor,0.0,5.372531647492809
XGBoost_N_CT_random,66,R_p6_energy,0.0,770.411686773743
XGBoost_N_CT_random,66,R_p6_absolute_mean,0.0,15.028809244934456
XGBoost_N_CT_random,66,R_p6_duration_s,0.0,1.7551200000000051
XGBoost_N_CT_random,66,R_p6_n_samples,0.0,87757.0
