rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
60,RandomForest,A,grid,loeo,feature_noise,54.64337175324677,66.93947103571284,-0.2441083998181517,35.17237325072548,LOEO (honest); aug:feature_noise; tuning:grid,A_CT_grid_feature_noise
61,RandomForest,A,random,loeo,feature_noise,54.643371753246775,66.93947103571286,-0.2441083998181519,35.17237325072548,LOEO (honest); aug:feature_noise; tuning:random,A_CT_random_feature_noise
62,XGBoost,A,none,loeo,grouped_scaling,55.538117218017575,67.79363345820694,-0.27606116502689426,34.92044155482043,LOEO (honest); aug:grouped_scaling,A_ST_grouped_scaling
63,RandomForest,A,none,loeo,grouped_scaling,55.885895634920644,67.80231768418419,-0.2763881076236534,37.00876589588356,LOEO (honest); aug:grouped_scaling,A_ST_grouped_scaling
64,RandomForest,A,none,loeo,feature_scaling,56.158825,67.8799349312459,-0.2793120913432796,37.18069892421093,LOEO (honest); aug:feature_scaling,A_ST_feature_scaling
65,XGBoost,A,none,loeo,feature_scaling,56.252793884277345,72.04039832118315,-0.4409399449354965,36.870880506937624,LOEO (honest); aug:feature_scaling,A_ST_feature_scaling
66,DummyRegressor,N,none,loeo,none,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest),N_ST
67,DummyRegressor,N,none,loeo,none,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest),N_CT_random
68,DummyRegressor,N,none,loeo,none,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest),N_CT_grid
69,DummyRegressor,A,none,loeo,feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:feature_noise,A_ST_feature_noise
70,DummyRegressor,A,none,loeo,feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:feature_noise,A_CT_random_feature_noise
71,DummyRegressor,A,none,loeo,feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:feature_noise,A_CT_grid_feature_noise
72,DummyRegressor,A,none,loeo,feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:feature_scaling,A_ST_feature_scaling
73,DummyRegressor,A,none,loeo,feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:feature_scaling,A_CT_random_feature_scaling
74,DummyRegressor,A,none,loeo,feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:feature_scaling,A_CT_grid_feature_scaling
75,DummyRegressor,A,none,loeo,grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:grouped_scaling,A_ST_grouped_scaling
76,DummyRegressor,A,none,loeo,grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:grouped_scaling,A_CT_random_grouped_scaling
77,DummyRegressor,A,none,loeo,grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,LOEO (honest); aug:grouped_scaling,A_CT_grid_grouped_scaling
78,RandomForest,A,grid,loeo,feature_scaling,56.4104111111111,68.56417573445451,-0.30523343045769047,37.64604968815076,LOEO (honest); aug:feature_scaling; tuning:grid,A_CT_grid_feature_scaling
79,RandomForest,A,random,loeo,feature_scaling,56.4104111111111,68.56417573445451,-0.3052334304576907,37.64604968815076,LOEO (honest); aug:feature_scaling; tuning:random,A_CT_random_feature_scaling
80,Ridge,A,random,loeo,feature_scaling,58.08193716835363,129.37314696930386,-3.647099321913074,28.211525310053194,LOEO (honest); aug:feature_scaling; tuning:random,A_CT_random_feature_scaling
81,Ridge,A,grid,loeo,feature_scaling,58.08193716835363,129.37314696930386,-3.647099321913074,28.211525310053194,LOEO (honest); aug:feature_scaling; tuning:grid,A_CT_grid_feature_scaling
82,RandomForest,A,random,loeo,grouped_scaling,59.33841666666666,71.11476303165597,-0.40414903032981253,39.92060113974903,LOEO (honest); aug:grouped_scaling; tuning:random,A_CT_random_grouped_scaling
