model,data_branch,tuning_method,validation_type,augmentation_strategy,n_train_original,n_train_augmented,MAE,RMSE,R2,MAPE_%
SVR,A,random,loeo,feature_scaling,9,27,53.114601318649406,65.29922659282337,-0.1838856185904092,34.7796001970245
RandomForest,A,random,loeo,feature_scaling,9,27,56.4104111111111,68.56417573445451,-0.3052334304576907,37.64604968815076
XGBoost,A,random,loeo,feature_scaling,9,27,50.97713928222656,63.71062605082072,-0.12698313063798272,34.34808505805856
MLP,A,none,loeo,feature_scaling,9,27,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722
DummyRegressor,A,none,holdout,feature_scaling,8,24,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929
Ridge,A,grid,holdout,feature_scaling,8,24,21.450510355226164,29.09614136231986,0.8320600194056536,9.259470220899296
Lasso,A,grid,holdout,feature_scaling,8,24,39.08766649715365,54.769061898909634,0.40494938677115755,37.745612634716444
ElasticNet,A,grid,holdout,feature_scaling,8,24,20.83539460489058,28.2565186105705,0.8416126078179891,8.996136133331335
SVR,A,grid,holdout,feature_scaling,8,24,70.70393130462611,71.73626785249164,-0.020847475779493196,45.33988295770912
RandomForest,A,grid,holdout,feature_scaling,8,24,63.907011904761916,64.17785013167779,0.182940597594903,45.722207582061955
XGBoost,A,grid,holdout,feature_scaling,8,24,63.087371826171875,63.45321174691483,0.20128742689966073,41.5855873611296
MLP,A,none,holdout,feature_scaling,8,24,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022
DummyRegressor,A,none,loeo,feature_scaling,9,27,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544
Ridge,A,grid,loeo,feature_scaling,9,27,58.08193716835363,129.37314696930386,-3.647099321913074,28.211525310053194
Lasso,A,grid,loeo,feature_scaling,9,27,35.06539413316634,43.53255669846679,0.4738349239647982,21.590627344180756
ElasticNet,A,grid,loeo,feature_scaling,9,27,43.22862779838128,83.94175206315833,-0.95636430104555,22.457191482279928
SVR,A,grid,loeo,feature_scaling,9,27,53.114601318649406,65.29922659282337,-0.1838856185904092,34.7796001970245
RandomForest,A,grid,loeo,feature_scaling,9,27,56.4104111111111,68.56417573445451,-0.30523343045769047,37.64604968815076
XGBoost,A,grid,loeo,feature_scaling,9,27,52.446633911132814,66.50497234712701,-0.22801000277428862,33.89234129059767
MLP,A,none,loeo,feature_scaling,9,27,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722
DummyRegressor,A,none,holdout,grouped_scaling,8,24,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929
Ridge,A,none,holdout,grouped_scaling,8,24,19.8770021039995,23.196906323282935,0.8932560081390273,10.341026913191689
Lasso,A,none,holdout,grouped_scaling,8,24,36.23401135283528,36.238139053966165,0.7394955917289054,25.137906543592432
ElasticNet,A,none,holdout,grouped_scaling,8,24,31.252461078588695,31.254466285137898,0.8062206580502238,21.449541871167195
SVR,A,none,holdout,grouped_scaling,8,24,70.62883126707838,71.99451901952777,-0.028210825005583695,44.77320261320457
RandomForest,A,none,holdout,grouped_scaling,8,24,60.73594345238094,60.891436581695004,0.26447787165590475,43.102121144574326
XGBoost,A,none,holdout,grouped_scaling,8,24,67.81117248535156,77.8232515056521,-0.20143988790160328,57.50064397108585
MLP,A,none,holdout,grouped_scaling,8,24,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164
DummyRegressor,A,none,loeo,grouped_scaling,9,27,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544
Ridge,A,none,loeo,grouped_scaling,9,27,44.066750006888945,73.20332009565948,-0.4878365636763804,25.74040983782538
Lasso,A,none,loeo,grouped_scaling,9,27,33.90907477231404,44.87365117651112,0.4409167446639779,20.066789481238906
ElasticNet,A,none,loeo,grouped_scaling,9,27,27.03587644172104,37.98051063313109,0.5994882435874871,17.174476760342607
SVR,A,none,loeo,grouped_scaling,9,27,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544
RandomForest,A,none,loeo,grouped_scaling,9,27,55.885895634920644,67.80231768418419,-0.2763881076236534,37.00876589588356
XGBoost,A,none,loeo,grouped_scaling,9,27,55.538117218017575,67.79363345820694,-0.27606116502689426,34.92044155482043
MLP,A,none,loeo,grouped_scaling,9,27,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289
DummyRegressor,A,none,holdout,grouped_scaling,8,24,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929
Ridge,A,random,holdout,grouped_scaling,8,24,26.55893073661167,27.638079032775774,0.8484698645860028,16.16116710361937
Lasso,A,random,holdout,grouped_scaling,8,24,42.60128532532654,44.08313570825624,0.6144965574543668,32.563178857339395
ElasticNet,A,random,holdout,grouped_scaling,8,24,41.58505981488514,41.59332994811307,0.6568131132369371,28.90702383827182
SVR,A,random,holdout,grouped_scaling,8,24,70.70728196447008,71.74086998828598,-0.020978461947262828,45.34003061275026
