model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
RandomForest,SOLO_A,A,CT,random,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,101,53.18571650571649,64.93757261962675,-0.17080824216667634,34.5623368916417,36,9,27,10,10,
XGBoost,SOLO_A,A,CT,random,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,101,50.14956512451172,60.55001380417441,-0.0179399592096241,30.93955394336169,36,9,27,10,10,
MLP,SOLO_A,A,CT,none,loeo,feature_noise,SOLO_A_A_CT_random_feature_noise,101,193.2898681024539,305.4925601743671,-24.911642679378097,120.44114074503133,36,9,27,10,10,
DummyRegressor,SOLO_A,A,CT,none,loeo,feature_noise,SOLO_A_A_CT_grid_feature_noise,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,CT,grid,loeo,feature_noise,SOLO_A_A_CT_grid_feature_noise,101,28.68194236240971,36.51560067121082,0.6297879350029203,19.60260640058056,36,9,27,10,10,
Lasso,SOLO_A,A,CT,grid,loeo,feature_noise,SOLO_A_A_CT_grid_feature_noise,101,31.680278886695056,43.190913460932975,0.48206119749623055,19.978557275274305,36,9,27,10,10,
ElasticNet,SOLO_A,A,CT,grid,loeo,feature_noise,SOLO_A_A_CT_grid_feature_noise,101,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323,36,9,27,10,10,
SVR,SOLO_A,A,CT,grid,loeo,feature_noise,SOLO_A_A_CT_grid_feature_noise,101,53.04782384240234,64.72630717631542,-0.1632025079012187,36.11902342781449,36,9,27,10,10,
RandomForest,SOLO_A,A,CT,grid,loeo,feature_noise,SOLO_A_A_CT_grid_feature_noise,101,52.94,64.29669789343772,-0.14781265461491677,34.310597483075895,36,9,27,10,10,
XGBoost,SOLO_A,A,CT,grid,loeo,feature_noise,SOLO_A_A_CT_grid_feature_noise,101,49.69487609863281,60.84667853015873,-0.027939186368754143,30.961003165346533,36,9,27,10,10,
MLP,SOLO_A,A,CT,none,loeo,feature_noise,SOLO_A_A_CT_grid_feature_noise,101,193.2898681024539,305.4925601743671,-24.911642679378097,120.44114074503133,36,9,27,10,10,
DummyRegressor,SOLO_A,A,ST,none,loeo,feature_scaling,SOLO_A_A_ST_feature_scaling,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,ST,none,loeo,feature_scaling,SOLO_A_A_ST_feature_scaling,101,23.885003115543157,31.3396118683617,0.7273026629000392,16.20636779850405,36,9,27,10,10,
Lasso,SOLO_A,A,ST,none,loeo,feature_scaling,SOLO_A_A_ST_feature_scaling,101,32.493626329033454,42.27838194131028,0.5037158723889865,20.20714262154127,36,9,27,10,10,
ElasticNet,SOLO_A,A,ST,none,loeo,feature_scaling,SOLO_A_A_ST_feature_scaling,101,25.075215884189376,32.2579774717069,0.711086431490453,17.19093009982847,36,9,27,10,10,
SVR,SOLO_A,A,ST,none,loeo,feature_scaling,SOLO_A_A_ST_feature_scaling,101,57.32033565354137,67.97754416859148,-0.282993958722934,37.19706234735295,36,9,27,10,10,
RandomForest,SOLO_A,A,ST,none,loeo,feature_scaling,SOLO_A_A_ST_feature_scaling,101,51.09998611111112,62.282086471849304,-0.0770105964941219,33.10640728430515,36,9,27,10,10,
XGBoost,SOLO_A,A,ST,none,loeo,feature_scaling,SOLO_A_A_ST_feature_scaling,101,60.43984527587891,70.69396681973102,-0.38758109240640626,39.83507499489762,36,9,27,10,10,
MLP,SOLO_A,A,ST,none,loeo,feature_scaling,SOLO_A_A_ST_feature_scaling,101,193.61989992944444,325.16445879258293,-28.35619813528465,112.53984252492579,36,9,27,10,10,
DummyRegressor,SOLO_A,A,CT,none,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,24.631548165110743,31.233786785640778,0.7291411984454885,18.893798494980516,36,9,27,10,10,
Lasso,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,33.69799136855769,42.600283447650455,0.4961298307682891,22.609999436225827,36,9,27,10,10,
ElasticNet,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162,36,9,27,10,10,
SVR,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,53.0014367125646,64.7106845241934,-0.16264106338682205,36.103154309103594,36,9,27,10,10,
