model,stage_order,branch_id,family,short_label,MAE,RMSE,R2,MAPE_%
ElasticNet,24,SOLO_A_A_CT_grid_grouped_scaling,SOLO_A·A·grid,24. SOL|A_CTg_gscale,23.527293275767406,29.285454022415074,0.7618790575260538,16.75249732401313
ElasticNet,25,SOLO_R_N_ST,SOLO_R·N,25. SOL|N_ST,30.947568337376413,40.38287131045267,0.5472191401046227,20.522088167744666
ElasticNet,26,SOLO_R_N_CT_random,SOLO_R·N·tuning,26. SOL|N_CT_random,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272
ElasticNet,27,SOLO_R_N_CT_grid,SOLO_R·N·tuning,27. SOL|N_CT_grid,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272
ElasticNet,28,SOLO_R_A_ST_feature_noise,SOLO_R·A·ST,28. SOL|A_ST_fnoise,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714
ElasticNet,29,SOLO_R_A_ST_feature_scaling,SOLO_R·A·ST,29. SOL|A_ST_fscale,30.17538373254596,39.109063902826456,0.5753330021863727,20.05715580163005
ElasticNet,30,SOLO_R_A_ST_grouped_scaling,SOLO_R·A·ST,30. SOL|A_ST_gscale,30.569514838352426,39.495579563560796,0.5668975383607249,20.437173565692785
ElasticNet,31,SOLO_R_A_CT_random_feature_noise,SOLO_R·A·random,31. SOL|A_CTr_fnoise,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714
ElasticNet,32,SOLO_R_A_CT_random_feature_scaling,SOLO_R·A·random,32. SOL|A_CTr_fscale,31.2438657176644,37.19559634847327,0.615871330481369,20.52102960114038
ElasticNet,33,SOLO_R_A_CT_random_grouped_scaling,SOLO_R·A·random,33. SOL|A_CTr_gscale,31.5782936423632,37.248268075777766,0.614782650743122,21.096541891808812
ElasticNet,34,SOLO_R_A_CT_grid_feature_noise,SOLO_R·A·grid,34. SOL|A_CTg_fnoise,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714
ElasticNet,35,SOLO_R_A_CT_grid_feature_scaling,SOLO_R·A·grid,35. SOL|A_CTg_fscale,31.2438657176644,37.19559634847327,0.615871330481369,20.52102960114038
ElasticNet,36,SOLO_R_A_CT_grid_grouped_scaling,SOLO_R·A·grid,36. SOL|A_CTg_gscale,31.5782936423632,37.248268075777766,0.614782650743122,21.096541891808812
Lasso,1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,33.65520332639927,39.96315208925391,0.5565821808904043,21.652666110506306
Lasso,2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,27.860476740879683,42.52008452171821,0.49802520824000385,16.060348208903
Lasso,3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,27.860476740879683,42.52008452171821,0.49802520824000385,16.060348208903
Lasso,4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,33.76470611813842,40.043827934874066,0.554790069195905,21.666762231663945
Lasso,5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,35.14329796436041,41.3205696328452,0.5259476871183225,22.013045688510154
Lasso,6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,33.90907477231404,44.87365117651112,0.4409167446639779,20.066789481238906
Lasso,7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655
Lasso,8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,35.14329796436041,41.3205696328452,0.5259476871183225,22.013045688510154
Lasso,9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,34.239888974183074,44.310608998353324,0.4548586719554014,19.782111653013178
Lasso,10,FUSION_A_CT_grid_feature_noise,FUSION·A·grid,10. FUS|A_CTg_fnoise,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655
Lasso,11,FUSION_A_CT_grid_feature_scaling,FUSION·A·grid,11. FUS|A_CTg_fscale,35.14329796436041,41.3205696328452,0.5259476871183225,22.013045688510154
Lasso,12,FUSION_A_CT_grid_grouped_scaling,FUSION·A·grid,12. FUS|A_CTg_gscale,34.239888974183074,44.310608998353324,0.4548586719554014,19.782111653013178
Lasso,13,SOLO_A_N_ST,SOLO_A·N,13. SOL|N_ST,31.320645966276466,42.81605893859269,0.491012579363287,19.73360522986529
Lasso,14,SOLO_A_N_CT_random,SOLO_A·N·tuning,14. SOL|N_CT_random,31.320645966276466,42.81605893859269,0.491012579363287,19.73360522986529
Lasso,15,SOLO_A_N_CT_grid,SOLO_A·N·tuning,15. SOL|N_CT_grid,31.320645966276466,42.81605893859269,0.491012579363287,19.73360522986529
Lasso,16,SOLO_A_A_ST_feature_noise,SOLO_A·A·ST,16. SOL|A_ST_fnoise,31.680278886695056,43.190913460932975,0.48206119749623055,19.978557275274305
Lasso,17,SOLO_A_A_ST_feature_scaling,SOLO_A·A·ST,17. SOL|A_ST_fscale,32.493626329033454,42.27838194131028,0.5037158723889865,20.20714262154127
Lasso,18,SOLO_A_A_ST_grouped_scaling,SOLO_A·A·ST,18. SOL|A_ST_gscale,30.967162308561182,44.821454343182246,0.44221663456933535,19.291912954847064
Lasso,19,SOLO_A_A_CT_random_feature_noise,SOLO_A·A·random,19. SOL|A_CTr_fnoise,31.680278886695056,43.190913460932975,0.48206119749623055,19.978557275274305
Lasso,20,SOLO_A_A_CT_random_feature_scaling,SOLO_A·A·random,20. SOL|A_CTr_fscale,33.69799136855769,42.600283447650455,0.4961298307682891,22.609999436225827
Lasso,21,SOLO_A_A_CT_random_grouped_scaling,SOLO_A·A·random,21. SOL|A_CTr_gscale,29.465169367714743,47.0245903434833,0.38603486225288053,15.722409732062134
Lasso,22,SOLO_A_A_CT_grid_feature_noise,SOLO_A·A·grid,22. SOL|A_CTg_fnoise,31.680278886695056,43.190913460932975,0.48206119749623055,19.978557275274305
Lasso,23,SOLO_A_A_CT_grid_feature_scaling,SOLO_A·A·grid,23. SOL|A_CTg_fscale,33.69799136855769,42.600283447650455,0.4961298307682891,22.609999436225827
