branch_id,data_branch,tuning_method,augmentation_strategy,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,delta_MAPE_%_vs_baseline,baseline_branch,mae_interpretation
FUSION_A_ST_feature_noise,A,none,feature_noise,ElasticNet,26.923591628458468,37.89671760708791,0.6012535211549672,16.99298465716858,-0.03607675496346019,0.01781537758030538,-0.0003748160665604239,-0.04515602734955593,FUSION_N_ST,practical tie (<1 µm)
FUSION_N_ST,N,none,none,ElasticNet,26.959668383421928,37.8789022295076,0.6016283372215276,17.038140684518137,0.0,0.0,0.0,0.0,FUSION_N_ST,practical tie (<1 µm)
FUSION_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,27.03587644172104,37.98051063313109,0.5994882435874871,17.174476760342607,0.07620805829911248,0.10160840362348722,-0.002140093634040552,0.13633607582447027,FUSION_N_ST,practical tie (<1 µm)
FUSION_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,27.06774582778623,37.06400834724107,0.6185844104394449,17.313597773414575,0.10807744436430156,-0.8148938822665315,0.016956073217917256,0.27545708889643805,FUSION_N_ST,practical tie (<1 µm)
FUSION_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,27.338270191138395,34.32510922172062,0.6728721452753985,17.95963096601616,0.3786018077164677,-3.553793007786979,0.07124380805387087,0.9214902814980235,FUSION_N_ST,practical tie (<1 µm)
FUSION_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,27.338270191138395,34.32510922172062,0.6728721452753985,17.95963096601616,0.3786018077164677,-3.553793007786979,0.07124380805387087,0.9214902814980235,FUSION_N_ST,practical tie (<1 µm)
FUSION_N_CT_grid,N,grid,none,ElasticNet,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098,0.7035282885651384,-0.44567190150538494,0.009319097791128939,0.1263014038059609,FUSION_N_ST,practical tie (<1 µm)
FUSION_N_CT_random,N,random,none,ElasticNet,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098,0.7035282885651384,-0.44567190150538494,0.009319097791128939,0.1263014038059609,FUSION_N_ST,practical tie (<1 µm)
FUSION_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,ElasticNet,28.631686605249296,38.036378719128216,0.598309097655559,18.106731613098813,1.6720182218273685,0.15747648962061334,-0.00331923956596869,1.0685909285806758,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
FUSION_A_CT_random_grouped_scaling,A,random,grouped_scaling,ElasticNet,28.631686605249296,38.036378719128216,0.598309097655559,18.106731613098813,1.6720182218273685,0.15747648962061334,-0.00331923956596869,1.0685909285806758,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
