stage_order,branch_id,family,short_label,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_previous_stage,delta_MAE_vs_baseline,interpretation
26,SOLO_R_N_CT_random,SOLO_R·N·tuning,26. SOL|N_CT_random,ElasticNet,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272,2.3135851967319816,6.301485150686467,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
27,SOLO_R_N_CT_grid,SOLO_R·N·tuning,27. SOL|N_CT_grid,ElasticNet,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272,0.0,6.301485150686467,vs previous: negligible change (<1 µm)
28,SOLO_R_A_ST_feature_noise,SOLO_R·A·ST,28. SOL|A_ST_fnoise,ElasticNet,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714,-2.214844579139857,4.08664057154661,"vs previous: marginal improvement (<5 µm, not significant with n=10)"
29,SOLO_R_A_ST_feature_scaling,SOLO_R·A·ST,29. SOL|A_ST_fscale,ElasticNet,30.17538373254596,39.109063902826456,0.5753330021863727,20.05715580163005,-0.8709252224225779,3.2157153491240322,vs previous: negligible change (<1 µm)
30,SOLO_R_A_ST_grouped_scaling,SOLO_R·A·ST,30. SOL|A_ST_gscale,ElasticNet,30.569514838352426,39.495579563560796,0.5668975383607249,20.437173565692785,0.3941311058064656,3.609846454930498,vs previous: negligible change (<1 µm)
31,SOLO_R_A_CT_random_feature_noise,SOLO_R·A·random,31. SOL|A_CTr_fnoise,ElasticNet,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714,0.47679411661611226,4.08664057154661,vs previous: negligible change (<1 µm)
32,SOLO_R_A_CT_random_feature_scaling,SOLO_R·A·random,32. SOL|A_CTr_fscale,ElasticNet,31.2438657176644,37.19559634847327,0.615871330481369,20.52102960114038,0.19755676269586075,4.284197334242471,vs previous: negligible change (<1 µm)
33,SOLO_R_A_CT_random_grouped_scaling,SOLO_R·A·random,33. SOL|A_CTr_gscale,ElasticNet,31.5782936423632,37.248268075777766,0.614782650743122,21.096541891808812,0.3344279246988009,4.618625258941272,vs previous: negligible change (<1 µm)
34,SOLO_R_A_CT_grid_feature_noise,SOLO_R·A·grid,34. SOL|A_CTg_fnoise,ElasticNet,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714,-0.5319846873946616,4.08664057154661,vs previous: negligible change (<1 µm)
35,SOLO_R_A_CT_grid_feature_scaling,SOLO_R·A·grid,35. SOL|A_CTg_fscale,ElasticNet,31.2438657176644,37.19559634847327,0.615871330481369,20.52102960114038,0.19755676269586075,4.284197334242471,vs previous: negligible change (<1 µm)
36,SOLO_R_A_CT_grid_grouped_scaling,SOLO_R·A·grid,36. SOL|A_CTg_gscale,ElasticNet,31.5782936423632,37.248268075777766,0.614782650743122,21.096541891808812,0.3344279246988009,4.618625258941272,vs previous: negligible change (<1 µm)
