model,data_branch,tuning_method,validation_type,augmentation_strategy,branch_id,best_params,best_cv_score,scoring,notes
SVR,A,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,"{""model__C"": 10, ""model__epsilon"": 10, ""model__gamma"": ""scale""}",37.214941170315626,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,A,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",35.48387817460316,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,A,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__n_estimators"": 100, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}",32.14326095581055,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,A,none,holdout,feature_scaling,A_CT_grid_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,A,none,holdout,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,A,none,holdout,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Lasso,A,none,holdout,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
ElasticNet,A,none,holdout,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
SVR,A,none,holdout,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
RandomForest,A,none,holdout,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
XGBoost,A,none,holdout,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
MLP,A,none,holdout,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,A,none,holdout,grouped_scaling,A_CT_random_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,A,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,"{""model__alpha"": 100}",47.77757170651555,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,A,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,"{""model__alpha"": 0.01}",33.99959334052967,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,A,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,"{""model__l1_ratio"": 0.3, ""model__alpha"": 10}",32.88699071978328,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
