model,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
XGBoost,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,56.252793884277345,72.04039832118315,-0.4409399449354965,36.870880506937624,36,9,27,10,10,
MLP,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,36,9,27,10,10,
DummyRegressor,A,CT,none,loeo,feature_scaling,A_CT_random_feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,43.120823626013006,68.93643390002389,-0.3194450157710307,25.79234720762974,36,9,27,10,10,
Lasso,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086,36,9,27,10,10,
ElasticNet,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,36,9,27,10,10,
SVR,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025,36,9,27,10,10,
RandomForest,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,56.57054877344876,67.9553400149958,-0.28215594250301623,37.4494611880735,36,9,27,10,10,
XGBoost,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,46.61649627685547,56.52819622887115,0.11279511315805568,28.604263164883985,36,9,27,10,10,
MLP,A,CT,none,loeo,feature_scaling,A_CT_random_feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,36,9,27,10,10,
DummyRegressor,A,CT,none,loeo,feature_scaling,A_CT_grid_feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,43.120823626013006,68.93643390002389,-0.3194450157710307,25.79234720762974,36,9,27,10,10,
Lasso,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086,36,9,27,10,10,
ElasticNet,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,36,9,27,10,10,
SVR,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,53.88025844387572,65.48391396533992,-0.19059191330182257,35.06314783415158,36,9,27,10,10,
RandomForest,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,56.57054877344876,67.9553400149958,-0.28215594250301623,37.4494611880735,36,9,27,10,10,
XGBoost,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,45.762108612060544,54.28856783257799,0.1817039786010396,28.171176003283033,36,9,27,10,10,
MLP,A,CT,none,loeo,feature_scaling,A_CT_grid_feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,36,9,27,10,10,
DummyRegressor,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,44.066750006888945,73.20332009565948,-0.4878365636763804,25.74040983782538,36,9,27,10,10,
Lasso,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,33.90907477231423,44.873651176511316,0.4409167446639729,20.066789481239002,36,9,27,10,10,
ElasticNet,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,27.03587644172101,37.9805106331311,0.5994882435874869,17.174476760342568,36,9,27,10,10,
SVR,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544,36,9,27,10,10,
RandomForest,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,55.885895634920644,67.80231768418419,-0.2763881076236534,37.00876589588356,36,9,27,10,10,
XGBoost,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,55.538117218017575,67.79363345820694,-0.27606116502689426,34.92044155482043,36,9,27,10,10,
MLP,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,36,9,27,10,10,
DummyRegressor,A,CT,none,loeo,grouped_scaling,A_CT_random_grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,59.68787931495672,127.9657371158279,-3.5465406172094696,28.133336835702373,36,9,27,10,10,
Lasso,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,34.23988897418219,44.31060899835254,0.4548586719554206,19.78211165301344,36,9,27,10,10,
ElasticNet,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,36,9,27,10,10,
SVR,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544,36,9,27,10,10,
RandomForest,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,56.291590043290036,68.0155095317642,-0.2844274595718972,37.35250951521191,36,9,27,10,10,
XGBoost,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,47.102447509765625,61.26408132272717,-0.042090701953174214,28.54700715769048,36,9,27,10,10,
MLP,A,CT,none,loeo,grouped_scaling,A_CT_random_grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,36,9,27,10,10,
DummyRegressor,A,CT,none,loeo,grouped_scaling,A_CT_grid_grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,59.68787931495672,127.9657371158279,-3.5465406172094696,28.133336835702373,36,9,27,10,10,
Lasso,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,34.23988897418219,44.31060899835254,0.4548586719554206,19.78211165301344,36,9,27,10,10,
ElasticNet,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,36,9,27,10,10,
SVR,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,53.69852809659271,65.3002582667731,-0.18392302771956137,34.914946849680234,36,9,27,10,10,
RandomForest,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,55.885895634920644,67.80231768418419,-0.2763881076236534,37.00876589588356,36,9,27,10,10,
XGBoost,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,49.96862030029297,62.23598125061841,-0.07541664113994417,31.17428970647897,36,9,27,10,10,
MLP,A,CT,none,loeo,grouped_scaling,A_CT_grid_grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,36,9,27,10,10,
